cpu_usage_percent,ram_usage_percent,disk_usage_percent,network_usage_mb,active_processes,failure_risk
8.1,69.3,30.8,1158.039529800415,269,Medium
18.8,69.1,30.8,1158.0565662384033,269,Medium
8.2,69.2,30.8,1158.059476852417,269,Medium
2.7,69.1,30.8,1158.0696077346802,268,Medium
13.2,69.4,30.8,1158.1896934509277,268,Medium
20.4,69.4,30.8,1158.2415971755981,268,Medium
10.1,69.4,30.8,1158.2435903549194,268,Medium
3.2,69.3,30.8,1158.2448930740356,268,Medium
16.8,69.3,30.8,1158.2737941741943,274,Medium
4.3,69.8,30.8,1158.2797498703003,272,Medium
17.2,69.5,30.8,1158.2852296829224,272,Medium
1.7,69.3,30.8,1158.2870111465454,272,Medium
3.5,69.2,30.8,1158.2882585525513,272,Medium
4.5,69.1,30.8,1158.2906894683838,268,Medium
2.6,68.6,30.8,1158.302939414978,268,Medium
4.5,68.6,30.8,1158.3165407180786,268,Medium
1.6,68.6,30.8,1158.3253135681152,268,Medium
6.7,68.4,30.8,1158.3276538848877,268,Medium
1.9,68.4,30.8,1158.3339710235596,268,Medium
6.8,68.5,30.8,1158.3453092575073,268,Medium
15.0,68.5,30.8,1158.346604347229,268,Medium
6.2,68.8,30.8,1158.3992414474487,268,Medium
4.6,68.8,30.8,1158.399899482727,268,Medium
4.3,68.8,30.8,1158.402527809143,268,Medium
2.0,68.8,30.8,1158.4052019119263,268,Medium
3.8,68.7,30.8,1158.4069299697876,267,Medium
5.0,68.7,30.8,1158.4074850082397,267,Medium
9.3,67.6,30.8,1158.4096431732178,267,Medium
4.3,67.6,30.8,1158.447645187378,267,Medium
2.2,67.6,30.8,1158.4621324539185,266,Medium
8.1,67.7,30.8,1158.464023590088,266,Medium
3.0,67.7,30.8,1158.4643249511719,266,Medium
5.1,67.6,30.8,1158.4671411514282,266,Medium
1.4,67.7,30.8,1158.4777421951294,266,Medium
17.5,67.7,30.8,1158.480456352234,266,Medium
1.4,67.7,30.8,1158.5009460449219,266,Medium
5.3,67.7,30.8,1158.5036783218384,266,Medium
8.4,68.1,30.8,1158.5087814331055,268,Medium
6.0,68.0,30.8,1158.5189657211304,268,Medium
13.2,68.1,30.8,1158.8453674316406,269,Medium
27.5,68.3,30.8,1158.8486948013306,269,Medium
19.9,68.3,30.8,1158.8909931182861,270,Medium
15.1,68.3,30.8,1158.9250802993774,270,Medium
9.2,68.3,30.8,1158.9379386901855,270,Medium
14.5,68.3,30.8,1158.9600086212158,270,Medium
12.1,68.4,30.8,1158.9802837371826,271,Medium
8.7,68.3,30.8,1159.0258255004883,271,Medium
5.2,68.3,30.8,1159.0420112609863,270,Medium
2.3,68.3,30.8,1159.167275428772,270,Medium
5.3,68.1,30.8,1159.1832866668701,270,Medium
12.5,68.0,30.8,1159.1843729019165,270,Medium
6.6,68.2,30.8,1159.1906633377075,270,Medium
2.5,68.2,30.8,1159.1997175216675,270,Medium
14.4,68.6,30.8,1159.2651615142822,270,Medium
1.4,68.6,30.8,1159.2779960632324,270,Medium
3.9,68.6,30.8,1159.2800817489624,270,Medium
2.2,68.5,30.8,1159.2912015914917,270,Medium
3.5,68.6,30.8,1159.302625656128,270,Medium
1.9,68.6,30.8,1159.3253135681152,270,Medium
4.4,68.5,30.8,1159.3304777145386,270,Medium
1.3,68.4,30.8,1159.3317108154297,270,Medium
3.0,68.5,30.8,1159.3449039459229,269,Medium
3.5,68.5,30.8,1159.3596277236938,269,Medium
2.5,68.4,30.8,1159.4890232086182,270,Medium
5.7,68.5,30.8,1159.4946641921997,270,Medium
1.6,68.4,30.8,1159.4951820373535,270,Medium
4.1,68.4,30.8,1159.4978637695312,268,Medium
0.6,68.3,30.8,1159.4982585906982,268,Medium
22.6,68.3,30.8,1159.524850845337,268,Medium
5.8,68.3,30.8,1159.6680278778076,268,Medium
5.6,68.3,30.8,1159.8709230422974,268,Medium
1.0,68.3,30.8,1159.912190437317,268,Medium
3.4,68.4,30.8,1159.9661226272583,268,Medium
12.1,68.3,30.8,1159.9663362503052,268,Medium
10.5,68.3,30.8,1159.9829807281494,268,Medium
2.6,68.3,30.8,1159.9830322265625,268,Medium
10.9,68.4,30.8,1159.9849004745483,268,Medium
2.6,68.3,30.8,1159.998417854309,267,Medium
2.6,68.2,30.8,1160.0285806655884,267,Medium
2.7,68.2,30.8,1160.0314846038818,266,Medium
0.9,68.2,30.8,1160.0325193405151,266,Medium
3.4,68.0,30.8,1160.0725297927856,266,Medium
1.7,68.0,30.8,1160.0859851837158,266,Medium
22.0,68.2,30.8,1160.131784439087,266,Medium
3.1,68.2,30.8,1160.1457033157349,266,Medium
10.1,68.2,30.8,1160.1488571166992,266,Medium
5.3,68.2,30.8,1160.176272392273,266,Medium
7.4,68.2,30.8,1160.193434715271,265,Medium
1.7,68.2,30.8,1160.2323503494263,265,Medium
14.2,68.3,30.8,1160.236886024475,265,Medium
2.1,68.2,30.8,1160.2384881973267,265,Medium
3.9,68.5,30.8,1160.299186706543,267,Medium
23.2,68.2,30.8,1160.3011178970337,266,Medium
15.9,68.2,30.8,1160.3035163879395,266,Medium
21.2,68.2,30.8,1160.3049278259277,266,Medium
11.9,68.2,30.8,1160.3175115585327,266,Medium
3.2,68.3,30.8,1160.3204469680786,266,Medium
5.3,68.2,30.8,1160.321312904358,266,Medium
3.3,68.2,30.8,1160.3339595794678,266,Medium
2.2,68.2,30.8,1160.3354568481445,266,Medium
